IdSensore,Tipologia,Unità_DiMisura,IdStazione,NomeStazione,Quota,Provincia,UTM_Nord,UTM_Est,lng,lat,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
2008,Radiazione Globale,W/m²,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19374,Radiazione Globale,W/m²,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
8121,Livello Idrometrico,cm,866,Paderno Dugnano Palazzolo,168,MI,5047708,512402,9.158975133893636,45.58280270109661,"(45.58280270109661, 9.158975133893636)",4,4
2046,Precipitazione,mm,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
17481,Velocità Vento,m/s,1873,Abbiategrasso Strada Casalina,115,MI,5026799,491367,8.889705636733689,45.39465495024529,"(45.39465495024529, 8.889705636733689)",4,4
14307,Livello Idrometrico,cm,1350,Locate di Triulzi v. Staffora,92,MI,5022881,515873,9.202665426569475,45.35926119035788,"(45.35926119035788, 9.202665426569475)",4,4
5908,Precipitazione,mm,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
11641,Velocità Vento,m/s,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
6180,Umidità Relativa,%,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
5903,Temperatura,°C,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
17491,Umidità Relativa,%,1874,Magenta cascina Mainaga,137,MI,5033848,488617,8.854408992642751,45.45806524380926,"(45.45806524380926, 8.854408992642751)",4,4
4059,Umidità Relativa,%,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
14391,Velocità Vento,m/s,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
4060,Radiazione Globale,W/m²,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
6179,Umidità Relativa,%,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
9341,Precipitazione,mm,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
5910,Temperatura,°C,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
8162,Temperatura,°C,869,Milano v.Feltre,127,MI,5037597,519436,9.248738238564373,45.49163261583995,"(45.49163261583995, 9.248738238564373)",4,4
6183,Umidità Relativa,%,614,Rodano v.Turati,112,MI,5035511,527631,9.353497140155191,45.47258002819812,"(45.47258002819812, 9.353497140155191)",4,4
5916,Precipitazione,mm,614,Rodano v.Turati,112,MI,5035511,527631,9.353497140155191,45.47258002819812,"(45.47258002819812, 9.353497140155191)",4,4
11827,Direzione Vento,°,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
19059,Velocità Vento,m/s,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
14121,Precipitazione,mm,1327,Milano v.Rosellini,122,MI,5037065,515119,9.193474059553125,45.48695097327908,"(45.48695097327908, 9.193474059553125)",4,4
2001,Temperatura,°C,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19021,Direzione Vento,°,501,Milano v.Marche,129,MI,5038105,514918,9.190933555313624,45.49631644365102,"(45.49631644365102, 9.190933555313624)",4,4
17488,Temperatura,°C,1874,Magenta cascina Mainaga,137,MI,5033848,488617,8.854408992642751,45.45806524380926,"(45.45806524380926, 8.854408992642751)",4,4
4066,Temperatura,°C,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
2040,Umidità Relativa,%,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
14750,Direzione Vento,°,1547,Rho Scalo Fiorenza - Tetto,143,MI,5040421,507155,9.091609926370014,45.51728588547899,"(45.51728588547899, 9.091609926370014)",4,4
2039,Temperatura,°C,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
14745,Umidità Relativa,%,1546,Rho Scalo Fiorenza - Prato,143,MI,5040479,506867,9.087923300302434,45.51781084679456,"(45.51781084679456, 9.087923300302434)",4,4
8149,Precipitazione,mm,890,Milano v.Confalonieri,122,MI,5037078,515100,9.19323132277657,45.487068399194094,"(45.487068399194094, 9.19323132277657)",4,4
5918,Precipitazione,mm,513,Trezzo sull'Adda v.Nenni,199,MI,5051253,539618,9.50812248390592,45.61369175877737,"(45.61369175877737, 9.50812248390592)",4,4
14751,Velocità Vento,m/s,1547,Rho Scalo Fiorenza - Tetto,143,MI,5040421,507155,9.091609926370014,45.51728588547899,"(45.51728588547899, 9.091609926370014)",4,4
3118,Livello Idrometrico,cm,1425,Milano Niguarda,139,MI,5041381,515011,9.192224195239163,45.525801944929476,"(45.525801944929476, 9.192224195239163)",4,4
4067,Umidità Relativa,%,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
4065,Precipitazione,mm,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
6176,Umidità Relativa,%,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
