year;month;day;totale;areac
2013;11;25;132022;1
2013;11;26;141280;1
2013;11;27;145375;1
2013;11;28;154018;1
2013;11;29;153367;1
2013;11;30;160497;0
2013;12;01;129824;0
2013;12;02;132952;1
2013;12;03;142002;1
2013;12;04;149370;1
2013;12;05;155447;1
2013;12;06;155855;0
2013;12;07;141389;0
2013;12;08;127556;0
2013;12;09;138080;1
2013;12;10;147644;1
2013;12;11;150437;1
2013;12;12;160042;1
2013;12;13;160129;1
2013;12;14;168674;0
2013;12;15;144335;0
2013;12;16;169166;0
2013;12;17;158635;1
2013;12;18;166366;1
2013;12;19;181040;1
2013;12;20;181588;1
2013;12;21;164485;0
2013;12;22;133797;0
2013;12;23;158282;0
2013;12;24;134611;0
2013;12;25;81941;0
2013;12;26;77798;0
2013;12;27;121839;0
2013;12;28;104101;0
2013;12;29;90426;0
2013;12;30;101463;0
2013;12;31;95725;0
