data;hour;totale;areac
2016-01-01;00;818;0
2016-01-01;00;1560;0
2016-01-01;01;2198;0
2016-01-01;01;2335;0
2016-01-01;02;2078;0
2016-01-01;02;1960;0
2016-01-01;03;1648;0
2016-01-01;03;1200;0
2016-01-01;04;1145;0
2016-01-01;04;994;0
2016-01-01;05;901;0
2016-01-01;05;872;0
2016-01-01;06;709;0
2016-01-01;06;784;0
2016-01-01;07;584;0
2016-01-01;07;524;0
2016-01-01;08;480;0
2016-01-01;08;547;0
2016-01-01;09;626;0
2016-01-01;09;902;0
2016-01-01;10;1143;0
2016-01-01;10;1377;0
2016-01-01;11;1541;0
2016-01-01;11;1679;0
2016-01-01;12;1743;0
2016-01-01;12;1800;0
2016-01-01;13;1587;0
2016-01-01;13;1345;0
2016-01-01;14;1530;0
2016-01-01;14;1586;0
2016-01-01;15;2037;0
2016-01-01;15;2299;0
2016-01-01;16;2783;0
2016-01-01;16;2760;0
2016-01-01;17;2685;0
2016-01-01;17;2545;0
2016-01-01;18;2340;0
2016-01-01;18;2029;0
2016-01-01;19;1918;0
2016-01-01;19;1877;0
2016-01-01;20;1439;0
2016-01-01;20;1211;0
2016-01-01;21;1107;0
2016-01-01;21;1073;0
2016-01-01;22;1033;0
2016-01-01;22;990;0
2016-01-01;23;886;0
2016-01-01;23;812;0
2016-01-02;00;784;0
2016-01-02;00;648;0
2016-01-02;01;473;0
2016-01-02;01;473;0
2016-01-02;02;337;0
2016-01-02;02;310;0
2016-01-02;03;252;0
2016-01-02;03;221;0
2016-01-02;04;239;0
2016-01-02;04;260;0
2016-01-02;05;330;0
2016-01-02;05;493;0
2016-01-02;06;599;0
2016-01-02;06;915;0
2016-01-02;07;886;0
2016-01-02;07;1049;0
2016-01-02;08;1106;0
2016-01-02;08;1301;0
2016-01-02;09;1705;0
2016-01-02;09;1989;0
2016-01-02;10;2458;0
2016-01-02;10;2709;0
2016-01-02;11;2928;0
2016-01-02;11;2850;0
2016-01-02;12;2669;0
2016-01-02;12;2523;0
2016-01-02;13;2168;0
2016-01-02;13;2064;0
2016-01-02;14;2154;0
2016-01-02;14;2361;0
2016-01-02;15;2474;0
2016-01-02;15;2764;0
2016-01-02;16;2891;0
2016-01-02;16;2946;0
2016-01-02;17;2868;0
2016-01-02;17;2742;0
2016-01-02;18;2665;0
2016-01-02;18;2484;0
2016-01-02;19;2462;0
2016-01-02;19;2397;0
2016-01-02;20;2304;0
2016-01-02;20;1872;0
2016-01-02;21;1567;0
2016-01-02;21;1500;0
2016-01-02;22;1446;0
2016-01-02;22;1476;0
2016-01-02;23;1461;0
2016-01-02;23;1282;0
2016-01-03;00;1123;0
2016-01-03;00;893;0
2016-01-03;01;729;0
2016-01-03;01;632;0
2016-01-03;02;499;0
2016-01-03;02;402;0
2016-01-03;03;335;0
2016-01-03;03;323;0
2016-01-03;04;278;0
2016-01-03;04;283;0
