linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm
321;BUS;12292;As;Bisceglie M1 - Buccinasco (Lario);Barrato;8.27;23
321;BUS;12293;Di;Assago Forum M2 - Bisceglie M1;Canonico;13.05;36
321;BUS;12296;Di;Buccinasco (Lario) - Bisceglie M1;Barrato;7.10;21
327;BUS;12304;As;Milano (Bisceglie M1) - Trezzano S.N. (Morona);Canonico;8.79;18
327;BUS;12305;As;Milano (Bisceglie M1) - Cusago (A. da Baggio);Barrato;11.93;21
327;BUS;12306;As;Milano (Bisceglie M1) - Trezzano S.N. (L.da Vinci);Barrato;9.81;19
327;BUS;12309;Di;Trezzano S.N. (Morona) - Milano (Bisceglie M1);Canonico;8.36;16
327;BUS;12310;Di;Cusago (A. da Baggio) - Milano (Bisceglie M1);Barrato;11.39;20
327;BUS;12311;Di;Trezzano S.N. (Petrella) - Milano (Bisceglie M1);Barrato;8.99;17
153;BUS;12314;As;San Donato M3 - Comasina M3;Canonico;19.60;30
924;BUS;12336;Di;Vimodrone (C.na Burrona) - Milano (Bottini) (senza trans. Redecesio);Barrato;13.90;32
924;BUS;12337;Di;Vimodrone (C.na Burrona) - Milano (Bottini);Barrato;14.78;35
33;TRAM;12340;Di;Interno Deposito Messina - Rimembranze di Lambrate ( LAVORI ponte di Farini);Canonico;6.92;25
82;BUS;12352;Di;Zara M3 M5 - Q.re Bovisasca (LAVORI ponte Farini);Canonico;9.43;31
70;BUS;12353;As;Cim. Bruzzano - Maciachini M3 (LAVORI ponte Farini);Canonico;7.08;23
70;BUS;12354;As;Q.re Bruzzano - Maciachini M3 (LAVORI ponte Farini);Barrato;6.01;20
94;BUS;12363;Di;Minghetti - P.ta Volta (LAVORI MONTELLO);Canonico;6.80;23
2;TRAM;12380;As;Interno deposito Messina - Negrelli ( LAVORI MONTELLO );Canonico;7.80;26
325;BUS;12389;As;Milano (Cantore) - Corsico (Resistenza);Barrato;7.50;22
