cReg,REGIONE,cProv,PROVINCIA,CODICE,NOME STRADA,UnivCom,COMUNE,Inc,Mor,Fer,Inc2R,IncMezziP
01,Piemonte,001,Torino,SP04101TO,SP 041 -  di Agliè,001001,Agliè,3,0,8,0,0
01,Piemonte,001,Torino,SP13901TO,SP 139 -  di Villafranca,001002,Airasca,1,0,1,0,0
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001006,Almese,2,0,3,1,0
01,Piemonte,001,Torino,SP19801TO,SP 198 -  di Villardora,001006,Almese,1,0,1,0,0
01,Piemonte,001,Torino,SP17701TO,SP 177 -  di Valdellatorre,001008,Alpignano,1,0,3,0,0
01,Piemonte,001,Torino,SP11901TO,SP 119 -  di Moriondo,001009,Andezeno,1,0,3,0,1
01,Piemonte,001,Torino,SP18601TO,SP 186 -  di Rosta,001013,Avigliana,1,0,1,1,0
01,Piemonte,001,Torino,SP18801TO,SP 188 -  del colle Braida,001013,Avigliana,2,0,3,1,0
01,Piemonte,001,Torino,SP19001TO,SP 190 -  di Coazze,001013,Avigliana,4,0,6,2,1
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001013,Avigliana,3,0,4,2,0
01,Piemonte,001,Torino,SP05601TO,SP 056 -  di Strambino,001014,Azeglio,1,0,1,1,0
01,Piemonte,001,Torino,SP04101TO,SP 041 -  di Agliè,001015,Bairo,2,0,3,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001016,Balangero,2,0,4,0,1
01,Piemonte,001,Torino,SP06101TO,SP 061 -  di Issiglio,001017,Baldissero Canavese,1,0,2,0,0
01,Piemonte,001,Torino,SP00401TO,SP 004 -  di Baldissero,001018,Baldissero Torinese,1,0,1,1,0
01,Piemonte,001,Torino,SP11601TO,SP 116 -  di San Quirico,001018,Baldissero Torinese,2,0,2,1,0
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001020,Banchette,1,0,1,0,0
01,Piemonte,001,Torino,SP21601TO,SP 216 -  del Melezet,001022,Bardonecchia,2,0,4,0,0
01,Piemonte,001,Torino,SP00601TO,SP 006 -  di Pinerolo,001024,Beinasco,11,0,14,2,1
01,Piemonte,001,Torino,SP17401TO,SP 174 -  di Borgaretto,001024,Beinasco,1,0,1,0,0
01,Piemonte,001,Torino,SP50201TO,SP 502 -  della Palazzina di Caccia di Stupinigi,001024,Beinasco,1,0,1,1,0
01,Piemonte,001,Torino,SP15701TO,SP 157 -  di Bibiana,001025,Bibiana,2,0,3,0,2
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001027,Bollengo,2,0,2,1,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001028,Borgaro Torinese,1,0,1,1,0
01,Piemonte,001,Torino,SP01201TO,SP 012 -  del Fornacino,001028,Borgaro Torinese,1,0,3,0,0
01,Piemonte,001,Torino,SP50101TO,SP 501 -  della Reggia,001028,Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP07001TO,SP 070 -  di Quassolo,001030,Borgofranco d'Ivrea,1,0,1,0,0
01,Piemonte,001,Torino,SP07301TO,SP 073 -  della Serra,001030,Borgofranco d'Ivrea,1,0,1,0,1
01,Piemonte,001,Torino,SP20301TO,SP 203 -  di Borgone,001032,Borgone Susa,1,0,1,1,0
01,Piemonte,001,Torino,SP22001TO,SP 220 -  di Brandizzo,001034,Brandizzo,4,0,5,3,0
01,Piemonte,001,Torino,SP16101TO,SP 161 -  della Val Pellice,001035,Bricherasio,5,0,10,2,1
01,Piemonte,001,Torino,SP18301TO,SP 183 -  di Bruino,001038,Bruino,1,0,1,0,0
01,Piemonte,001,Torino,SP10701TO,SP 107 -  di Brusasco,001039,Brusasco,1,0,1,0,1
01,Piemonte,001,Torino,SP20501TO,SP 205 -  di Bruzolo,001040,Bruzolo,1,1,0,0,0
01,Piemonte,001,Torino,SP12901TO,SP 129 -  di Carmagnola,001041,Buriasco,1,0,1,0,1
01,Piemonte,001,Torino,SP13801TO,SP 138 -  di Virle,001041,Buriasco,1,0,1,1,0
01,Piemonte,001,Torino,SP16001TO,SP 160 -  dei Murisenghi,001041,Buriasco,1,0,1,0,0
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001043,Busano,5,0,5,1,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001046,Cafasse,5,0,9,3,0
01,Piemonte,001,Torino,SP18201TO,SP 182 -  di Varisella,001046,Cafasse,2,0,2,1,0
01,Piemonte,001,Torino,SP21801TO,SP 218 -  di Monasterolo,001046,Cafasse,1,0,1,0,1
01,Piemonte,001,Torino,SP72401TO,SP 724 -  di Villanova,001046,Cafasse,1,0,1,0,0
01,Piemonte,001,Torino,SP05301TO,SP 053 -  di San Giorgio Canavese,001047,Caluso,1,0,1,0,0
01,Piemonte,001,Torino,SP08401TO,SP 084 -  del Lago di Candia,001047,Caluso,1,0,1,1,1
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001048,Cambiano,4,1,9,1,2
01,Piemonte,001,Torino,SP12301TO,SP 123 -  di San Felice,001048,Cambiano,1,1,0,1,0
01,Piemonte,001,Torino,SP15301TO,SP 153 -  di Babano,001049,Campiglione-Fenile,1,0,1,1,0
01,Piemonte,001,Torino,SP08401TO,SP 084 -  del Lago di Candia,001050,Candia Canavese,1,0,4,0,1
01,Piemonte,001,Torino,SP14001TO,SP 140 -  di None,001051,Candiolo,3,0,3,1,0
01,Piemonte,001,Torino,SP14201TO,SP 142 -  di Piobesi,001051,Candiolo,4,0,6,2,1
01,Piemonte,001,Torino,SP03301TO,SP 033 -  della Val Granda,001054,Cantoira,1,0,1,0,0
01,Piemonte,001,Torino,SP05601TO,SP 056 -  di Strambino,001056,Caravino,1,0,2,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001056,Caravino,2,0,2,0,1
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001058,Carignano,3,0,3,2,1
01,Piemonte,001,Torino,SP13801TO,SP 138 -  di Virle,001058,Carignano,2,2,2,0,1
01,Piemonte,001,Torino,SP14201TO,SP 142 -  di Piobesi,001058,Carignano,2,0,4,0,0
01,Piemonte,001,Torino,SP14301TO,SP 143 -  di Vinovo,001058,Carignano,1,0,2,0,0
01,Piemonte,001,Torino,SP12901TO,SP 129 -  di Carmagnola,001059,Carmagnola,8,0,10,2,3
01,Piemonte,001,Torino,SP18101TO,SP 181 -  di Caselette,001062,Caselette,1,0,2,1,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001063,Caselle Torinese,17,0,29,3,2
01,Piemonte,001,Torino,SP01201TO,SP 012 -  del Fornacino,001063,Caselle Torinese,3,0,4,0,0
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001063,Caselle Torinese,2,0,4,0,0
01,Piemonte,001,Torino,SP01401TO,SP 014 -  di Ceretta Inferiore,001063,Caselle Torinese,2,0,2,1,0
01,Piemonte,001,Torino,SP26701TO,SP 267 -  di Lombardore,001063,Caselle Torinese,6,0,11,2,0
01,Piemonte,001,Torino,SP71001TO,SP 710 -  di Caselle,001063,Caselle Torinese,5,0,7,1,1
01,Piemonte,001,Torino,SP05801TO,SP 058 -  del Pedaggio,001066,Castellamonte,3,0,4,1,1
01,Piemonte,001,Torino,SP05901TO,SP 059 -  di Castelnuovo Nigra,001066,Castellamonte,1,0,3,0,0
01,Piemonte,001,Torino,SP22201TO,SP 222 -  di Castellamonte,001066,Castellamonte,4,0,6,1,1
01,Piemonte,001,Torino,SP09201TO,SP 092 -  di Castiglione,001068,Castiglione Torinese,1,0,1,1,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001068,Castiglione Torinese,5,0,6,1,0
01,Piemonte,001,Torino,SP13901TO,SP 139 -  di Villafranca,001071,Cercenasco,3,0,4,0,2
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001072,Ceres,1,0,1,0,0
01,Piemonte,001,Torino,SP03301TO,SP 033 -  della Val Granda,001072,Ceres,1,0,1,0,0
01,Piemonte,001,Torino,SP07401TO,SP 074 -  di Chiaverano,001077,Chiaverano,2,0,2,1,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001078,Chieri,8,0,12,1,1
01,Piemonte,001,Torino,SP12801TO,SP 128 -  di Pessione,001078,Chieri,3,0,3,0,1
01,Piemonte,001,Torino,SP08101TO,SP 081 -  di Mazzè,001082,Chivasso,2,0,3,1,0
01,Piemonte,001,Torino,SP08201TO,SP 082 -  di Montalenghe,001082,Chivasso,1,0,3,0,0
01,Piemonte,001,Torino,SP08701TO,SP 087 -  di Bosconero,001082,Chivasso,5,0,11,0,0
01,Piemonte,001,Torino,SP09101TO,SP 091 -  del Boschetto,001082,Chivasso,1,0,1,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001086,Ciriè,10,1,12,3,2
01,Piemonte,001,Torino,SP01601TO,SP 016 -  di San Maurizio,001086,Ciriè,2,0,2,0,0
01,Piemonte,001,Torino,SP01801TO,SP 018 -  di Robassomero,001086,Ciriè,6,0,9,0,1
01,Piemonte,001,Torino,SP01901TO,SP 019 -  del Sedime,001086,Ciriè,1,0,1,0,1
01,Piemonte,001,Torino,SP02201TO,SP 022 -  del Colle Forcola,001086,Ciriè,1,0,3,0,0
01,Piemonte,001,Torino,SP18901TO,SP 189 -  di Selvaggio,001089,Coazze,2,0,2,2,1
01,Piemonte,001,Torino,SP19001TO,SP 190 -  di Coazze,001089,Coazze,2,0,7,1,0
01,Piemonte,001,Torino,SP00801TO,SP 008 -  di Druento,001090,Collegno,1,0,1,0,0
01,Piemonte,001,Torino,SP17601TO,SP 176 -  della Savonera,001090,Collegno,5,0,8,1,1
01,Piemonte,001,Torino,SP06301TO,SP 063 -  di Colleretto Giacosa,001092,Colleretto Giacosa,1,0,1,1,0
01,Piemonte,001,Torino,SP22201TO,SP 222 -  di Castellamonte,001092,Colleretto Giacosa,1,0,1,0,0
01,Piemonte,001,Torino,SP02201TO,SP 022 -  del Colle Forcola,001094,Corio,4,0,9,0,1
01,Piemonte,001,Torino,SP14601TO,SP 146 -  di Viotto,001097,Cumiana,1,0,1,0,1
01,Piemonte,001,Torino,SP19301TO,SP 193 -  della Colletta,001097,Cumiana,1,0,1,1,1
01,Piemonte,001,Torino,SP04201TO,SP 042 -  del Santuario di Belmonte,001098,Cuorgnè,1,0,1,0,1
01,Piemonte,001,Torino,SP04401TO,SP 044 -  di Alpette,001098,Cuorgnè,1,0,1,0,0
01,Piemonte,001,Torino,SP04501TO,SP 045 -  della Valle Sacra,001098,Cuorgnè,1,0,1,0,0
01,Piemonte,001,Torino,SP00801TO,SP 008 -  di Druento,001099,Druento,6,0,11,0,2
01,Piemonte,001,Torino,SP21301TO,SP 213 -  di Exilles,001100,Exilles,2,0,5,0,1
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001101,Favria,4,1,5,2,1
01,Piemonte,001,Torino,SP03501TO,SP 035 -  di Favria,001101,Favria,4,0,5,1,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001104,Fiano,2,0,2,1,0
01,Piemonte,001,Torino,SP18101TO,SP 181 -  di Caselette,001104,Fiano,2,0,3,1,0
01,Piemonte,001,Torino,SP04001TO,SP 040 -  di San Giusto,001106,Foglizzo,1,0,2,1,0
01,Piemonte,001,Torino,SP08201TO,SP 082 -  di Montalenghe,001106,Foglizzo,4,1,4,0,1
